Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
IN;Delhi;Ashok Vihar, Delhi - DPCC;28.695381, 77.181665;PM10;caaqm;µg/m³;392.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Mundka, Delhi - DPCC;28.684678, 77.076574;CO;caaqm;µg/m³;600.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Rohini, Delhi - DPCC;28.732528, 77.11992;SO2;caaqm;µg/m³;0.5;2022-10-31T06:15:00+05:30;India
IN;Delhi;Dr. Karni Singh Shooting Range, Delhi - DPCC;;O3;data.gov.in;µg/m³;6.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Patparganj, Delhi - DPCC;;CO;data.gov.in;µg/m³;90000.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Rohini, Delhi - DPCC;;PM10;data.gov.in;µg/m³;264.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Major Dhyan Chand National Stadium, Delhi - DPCC;;CO;data.gov.in;µg/m³;65000.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;ITO, Delhi - CPCB;;SO2;data.gov.in;µg/m³;30.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Pusa, Delhi - IMD;;CO;data.gov.in;µg/m³;56000.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Sri Aurobindo Marg, Delhi - DPCC;;CO;data.gov.in;µg/m³;56000.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Anand Vihar, Delhi - DPCC;28.646835, 77.316032;O3;caaqm;µg/m³;25.8;2021-09-20T13:15:00+05:30;India
IN;Delhi;Punjabi Bagh, Delhi - DPCC;28.6670856, 77.1301247;SO2;caaqm;µg/m³;54.4;2018-05-12T11:30:00+05:30;India
IN;Delhi;Punjabi Bagh, Delhi - DPCC;28.6670856, 77.1301247;CO;caaqm;µg/m³;2000.0;2018-05-12T11:30:00+05:30;India
IN;Delhi;Wazirpur, Delhi - DPCC;28.701616, 77.164238;CO;caaqm;µg/m³;0.6;2018-05-10T17:00:00+05:30;India
IN;Delhi;Mandir Marg, New Delhi - DPCC;28.6372688, 77.2005604;PM10;caaqm;µg/m³;251.0;2018-05-12T10:00:00+05:30;India
IN;Delhi;IHBAS, Delhi - CPCB;28.6821, 77.305;SO2;CPCB;µg/m³;6.42;2018-02-22T08:15:00+05:30;India
IN;Delhi;Burari Crossing, Delhi - IMD;;CO;CPCB;µg/m³;870.0;2018-02-22T04:45:00+05:30;India
IN;Delhi;Aya Nagar, Delhi - IMD;28.4706914, 77.1099364;PM10;caaqm;µg/m³;327.31;2022-10-31T06:45:00+05:30;India
IN;Delhi;Dwarka-Sector 8, Delhi - DPCC;28.5710274, 77.0719006;CO;caaqm;µg/m³;1400.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Vivek Vihar, Delhi - DPCC;28.672342, 77.31526;PM10;caaqm;µg/m³;421.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Okhla Phase-2, Delhi - DPCC;28.530785, 77.271255;NO2;caaqm;µg/m³;71.5;2022-10-31T06:15:00+05:30;India
IN;Delhi;Nehru Nagar, Delhi - DPCC;28.56789, 77.250515;PM2.5;caaqm;µg/m³;280.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Najafgarh, Delhi - DPCC;28.570173, 76.933762;CO;caaqm;µg/m³;1400.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Anand Vihar, Delhi - DPCC;28.647622, 77.315809;PM10;caaqm;µg/m³;504.0;2022-10-31T06:00:00+05:30;India
IN;Delhi;Alipur, Delhi - DPCC;28.815329, 77.15301;O3;caaqm;µg/m³;7.5;2022-10-31T06:00:00+05:30;India
IN;Delhi;Punjabi Bagh, Delhi - DPCC;28.674045, 77.131023;O3;caaqm;µg/m³;6.3;2022-10-16T19:45:00+05:30;India
IN;Delhi;Lodhi Road, Delhi - IITM;28.588333, 77.221667;NO2;caaqm;µg/m³;17.15;2022-08-02T15:00:00+05:30;India
IN;Delhi;Dr. Karni Singh Shooting Range, Delhi - DPCC;;CO;data.gov.in;µg/m³;54000.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Dwarka-Sector 8, Delhi - DPCC;;O3;data.gov.in;µg/m³;4.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Aya Nagar, Delhi - IMD;;O3;data.gov.in;µg/m³;22.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Bawana, Delhi - DPCC;;O3;data.gov.in;µg/m³;11.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;CRRI Mathura Road, Delhi - IMD;;O3;data.gov.in;µg/m³;16.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;CRRI Mathura Road, Delhi - IMD;;NO2;data.gov.in;µg/m³;25.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;IHBAS, Dilshad Garden, Delhi - CPCB;;NO2;data.gov.in;µg/m³;95.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;North Campus, DU, Delhi - IMD;;CO;data.gov.in;µg/m³;122000.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Pusa, Delhi - DPCC;;O3;data.gov.in;µg/m³;5.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Sri Aurobindo Marg, Delhi - DPCC;;NO2;data.gov.in;µg/m³;32.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Anand Vihar, Delhi - DPCC;28.646835, 77.316032;CO;caaqm;µg/m³;2800.0;2021-09-20T13:15:00+05:30;India
IN;Delhi;Pusa, New Delhi - IMD;28.610304, 77.0996943;PM2.5;caaqm;µg/m³;0.0;2018-05-14T07:30:00+05:30;India
IN;Delhi;Najafgarh, Delhi - DPCC;28.5108561, 76.7093948;SO2;caaqm;µg/m³;8.2;2018-05-12T11:30:00+05:30;India
IN;Delhi;Dwarka-Sector 8, Delhi - DPCC;28.5206826, 76.8023871;PM10;caaqm;µg/m³;250.0;2018-05-11T18:00:00+05:30;India
IN;Delhi;R K Puram, New Delhi - DPCC;28.5646102, 77.1670103;PM10;caaqm;µg/m³;296.0;2018-05-12T10:15:00+05:30;India
IN;Delhi;Major Dhyan Chand National Stadium, Delhi - DPCC;28.6125027, 77.2351994;PM10;caaqm;µg/m³;155.0;2018-05-10T15:00:00+05:30;India
